Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,23,TOR,39,11,23,3.8,8,0.479,0.5,2,0.256,3.3,6,0.553,0.511,1.9,2.7,0.689,2.1,4.4,6.5,1,0.6,0.6,1.2,2.1,10.1,achiupr01
2,Steven Adams,C,29,MEM,42,42,27,3.7,6.3,0.597,0,0,0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,adamsst01
3,Bam Adebayo,C,25,MIA,58,58,34.9,8.4,15.6,0.538,0,0.2,0.083,8.4,15.4,0.544,0.538,4.4,5.5,0.803,2.6,7.2,9.8,3.2,1.2,0.8,2.5,2.8,21.2,adebaba01
4,Ochai Agbaji,SG,22,UTA,40,3,15.7,1.9,3.9,0.478,1,2.5,0.398,0.9,1.5,0.61,0.602,0.4,0.6,0.682,0.7,1.1,1.8,0.6,0.2,0.2,0.4,1.4,5.1,agbajoc01
5,Santi Aldama,PF,22,MEM,58,18,21.9,3.3,7,0.477,1.3,3.7,0.363,2,3.3,0.601,0.572,1.3,1.8,0.729,1,3.6,4.6,1.2,0.7,0.7,0.7,1.9,9.3,aldamsa01
6,Nickeil Alexander-Walker,SG,24,TOT,41,3,14.6,2.3,4.9,0.477,1,2.4,0.41,1.3,2.4,0.545,0.58,0.7,1,0.675,0.2,1.4,1.7,2,0.6,0.4,1.2,1.5,6.3,alexani01
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,0.488,1,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,alexani01
6,Nickeil Alexander-Walker,SG,24,MIN,5,0,13.8,2.4,5.8,0.414,1.2,2.6,0.462,1.2,3.2,0.375,0.517,0,0.2,0,0.4,1.4,1.8,0.8,0.4,0.6,0.8,0.8,6,alexani01
7,Grayson Allen,SG,27,MIL,58,56,27.6,3.4,7.7,0.442,2,5,0.405,1.4,2.7,0.509,0.573,1.7,1.8,0.897,0.9,2.4,3.4,2.4,0.8,0.2,1.1,1.7,10.5,allengr01
8,Jarrett Allen,C,24,CLE,58,58,33.3,6.1,9.4,0.652,0,0.2,0.111,6.1,9.2,0.661,0.653,2.4,3.3,0.731,3.2,6.7,9.9,1.6,0.8,1.2,1.4,2.2,14.7,allenja01
9,Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8,0.411,1.4,4,0.336,1.9,4,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3,1.1,0.2,1.3,2,9,alvarjo01
10,Kyle Anderson,PF,29,MIN,51,35,26.2,3.2,6.4,0.503,0.6,1.4,0.417,2.6,5,0.528,0.549,1.6,2.2,0.764,0.8,4.2,4.9,4.1,1.2,0.8,1.4,2.2,8.7,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,50,50,32.3,11.2,20.7,0.541,0.8,2.9,0.286,10.3,17.7,0.584,0.561,8.1,12.5,0.645,2.2,9.7,12,5.4,0.7,0.8,3.9,3.3,31.3,antetgi01
12,Thanasis Antetokounmpo,SF,30,MIL,28,0,4,0.2,0.8,0.273,0,0.2,0,0.2,0.6,0.353,0.273,0.1,0.3,0.5,0.3,0.7,1,0.1,0.1,0.1,0.3,0.5,0.6,antetth01
13,Cole Anthony,PG,22,ORL,43,3,24.9,4.2,9.6,0.443,1.1,3.3,0.338,3.1,6.3,0.498,0.501,2.6,2.9,0.88,0.6,4,4.6,4.1,0.6,0.6,1.5,2.5,12.1,anthoco01
14,OG Anunoby,SF,25,TOR,49,49,35.7,6.1,13.4,0.454,1.8,5.1,0.359,4.2,8.3,0.512,0.522,2.4,2.9,0.823,1.5,4,5.4,2,2,0.8,2.2,3.1,16.4,anunoog01
15,Ryan Arcidiacono,PG,28,TOT,14,1,4.9,0.3,1,0.286,0.3,0.6,0.444,0,0.4,0,0.429,0,0,,0,0.7,0.7,0.6,0.1,0,0.2,0.4,0.9,arcidry01
15,Ryan Arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.5,0.2,0.1,0.3,0.333,0,0.2,0,0.3,0,0,,0,0.4,0.4,0.2,0.2,0,0.1,0.3,0.3,arcidry01
15,Ryan Arcidiacono,PG,28,POR,3,1,14.3,1,3,0.333,1,2,0.5,0,1,0,0.5,0,0,,0,2,2,2,0,0,0.7,1,3,arcidry01
